Time,ParameterName,ParameterValue
2023-01-01T21:00:00Z,TA_PT1H_AVG,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAAQ/+J/g/zd304ghmP36j83tJfIcAO+p2odKOmGtvNL8NUOoL
HkXnS7G+qTmzXlnSllRcB9CVSwcJpKjHqGPfF5zUccj9zQvnYK9oBvEL9nlBHxmN
VUBG3rZyt/TDyChfsMSiu6Ak2F/XiR+dfqB2xdOvCWk26oymG81BzKfolpT+SCCj
UTHQvEQf8q0cHfUC3uPNOc4gBChRGh5"
2023-01-01T21:00:00Z,TA_PT1H_MAX,-3.1
2023-01-01T21:00:00Z,TA_PT1H_MIN,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAARAAmjmkfnRmcmazCP0GxYQ7Eh+O/cyqjZpyZdgPoORFqLQk
olKRy84x1idaTZbHVsVyYKZSH9HfkCM5yHEsdlOtWddrs1jSE534WIEvfdVrDkwl
v6hRXCEwWfzU5jGtfbkCevKtoYmN4lgXKHHPkUdn+KOE6EG+0cbzGcLF38c9j8Jv
0KWx+MQrHhYrcMlhAd5rmWqCPy/BUtC"
2023-01-01T21:00:00Z,RH_PT1H_AVG,78
2023-01-01T21:00:00Z,WS_PT1H_AVG,6.5
2023-01-01T21:00:00Z,WS_PT1H_MAX,7
2023-01-01T21:00:00Z,WS_PT1H_MIN,6.1
2023-01-01T21:00:00Z,WD_PT1H_AVG,283
2023-01-01T21:00:00Z,PRA_PT1H_ACC,NaN
2023-01-01T21:00:00Z,PRI_PT1H_MAX,NaN
2023-01-01T21:00:00Z,PA_PT1H_AVG,1003.2
2023-01-01T21:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-01T22:00:00Z,TA_PT1H_AVG,-3.4
2023-01-01T22:00:00Z,TA_PT1H_MAX,-3.2
2023-01-01T22:00:00Z,TA_PT1H_MIN,-3.5
2023-01-01T22:00:00Z,RH_PT1H_AVG,80
2023-01-01T22:00:00Z,WS_PT1H_AVG,5.5
2023-01-01T22:00:00Z,WS_PT1H_MAX,6.1
2023-01-01T22:00:00Z,WS_PT1H_MIN,4.9
2023-01-01T22:00:00Z,WD_PT1H_AVG,285
2023-01-01T22:00:00Z,PRA_PT1H_ACC,NaN
2023-01-01T22:00:00Z,PRI_PT1H_MAX,NaN
2023-01-01T22:00:00Z,PA_PT1H_AVG,1004.2
2023-01-01T22:00:00Z,WAWA_PT1H_RANK,NaN
